iter	Passed	Remaining
0	0	61
1	1	50
2	1	47
3	1	47
4	2	45
5	3	47
6	3	46
7	3	45
8	4	47
9	5	46
10	5	45
11	6	44
12	6	43
13	6	42
14	7	41
15	7	40
16	8	39
17	8	39
18	9	38
19	9	37
20	9	36
21	10	36
22	10	35
23	10	34
24	11	33
25	11	33
26	12	32
27	12	31
28	12	30
29	13	30
30	13	29
31	13	29
32	14	28
33	14	28
34	14	27
35	15	27
36	15	26
37	16	26
38	16	26
39	17	26
40	18	26
41	18	26
42	19	25
43	19	25
44	20	24
45	20	24
46	21	23
47	21	23
48	21	22
49	22	22
50	22	21
51	23	21
52	23	20
53	23	20
54	24	19
55	24	19
56	25	18
57	25	18
58	25	17
59	26	17
60	26	16
61	26	16
62	27	16
63	27	15
64	28	15
65	29	14
66	29	14
67	30	14
68	30	13
69	31	13
70	31	13
71	32	12
72	32	12
73	33	11
74	34	11
75	34	10
76	34	10
77	35	9
78	35	9
79	36	9
80	36	8
81	37	8
82	37	7
83	37	7
84	38	6
85	38	6
86	39	5
87	39	5
88	39	4
89	40	4
90	40	4
91	41	3
92	41	3
93	42	2
94	42	2
95	42	1
96	43	1
97	43	0
98	44	0
99	45	0
